arc_length;U_1;U_1;U_1
0.0885;0.0217144;0.0599444;0.149466
0.0888;0.0194942;0.0549237;0.14149
0.0891;0.0172313;0.0496882;0.132872
0.0894;0.014883;0.0440233;0.122973
0.0897;0.0125787;0.0382232;0.112111
0.09;0.0102963;0.0323556;0.100768
0.0903;0.00815802;0.0265605;0.088973
0.0906;0.00610551;0.0208277;0.0762145
0.0909;0.00422445;0.0152193;0.0615281
0.0912;0.00276456;0.0112797;0.0564854
0.0915;0.00151528;0.00817445;0.0562644
0.0918;0.000606111;0.00326978;0.0225057
0.0921;nan;nan;nan
0.0924;nan;nan;nan
0.0927;nan;nan;nan
0.093;nan;nan;nan
0.0933;nan;nan;nan
0.0936;nan;nan;nan
0.0939;nan;nan;nan
0.0942;nan;nan;nan
0.0945;nan;nan;nan
0.0948;nan;nan;nan
0.0951;nan;nan;nan
0.0954;nan;nan;nan
0.0957;nan;nan;nan
0.096;nan;nan;nan
0.0963;nan;nan;nan
0.0966;nan;nan;nan
0.0969;nan;nan;nan
0.0972;nan;nan;nan
0.0975;nan;nan;nan
0.0978;nan;nan;nan
0.0981;nan;nan;nan
0.0984;nan;nan;nan
0.0987;nan;nan;nan
0.099;nan;nan;nan
0.0993;nan;nan;nan
0.0996;nan;nan;nan
0.0999;nan;nan;nan
0.1002;nan;nan;nan
0.1005;nan;nan;nan
0.1008;nan;nan;nan
0.1011;nan;nan;nan
0.1014;nan;nan;nan
0.1017;nan;nan;nan
0.102;nan;nan;nan
0.1023;nan;nan;nan
0.1026;nan;nan;nan
0.1029;nan;nan;nan
0.1032;nan;nan;nan
0.1035;nan;nan;nan
0.1038;nan;nan;nan
0.1041;nan;nan;nan
0.1044;nan;nan;nan
0.1047;nan;nan;nan
0.105;nan;nan;nan
0.1053;nan;nan;nan
0.1056;nan;nan;nan
0.1059;nan;nan;nan
0.1062;nan;nan;nan
0.1065;nan;nan;nan
0.1068;nan;nan;nan
0.1071;nan;nan;nan
0.1074;nan;nan;nan
0.1077;nan;nan;nan
0.108;2.11E-17;1.04E-16;5.98E-16
0.1083;0.0018916;0.00931737;0.0536905
0.1086;0.00428295;0.019658;0.103099
0.1089;0.00767377;0.0320452;0.143943
0.1092;0.0120401;0.0482705;0.202364
0.1095;0.0168943;0.0664149;0.269573
0.1098;0.0225503;0.0867213;0.340051
0.1101;0.0283735;0.107435;0.411131
0.1104;0.0345313;0.128964;0.483414
0.1107;0.0409112;0.150817;0.554648
0.111;0.0474022;0.172831;0.625357
0.1113;0.0537739;0.19402;0.692024
0.1116;0.0599436;0.214431;0.75596
0.1119;0.0657094;0.233284;0.814433
0.1122;0.0732223;0.257437;0.887526
0.1125;0.0802179;0.279468;0.95215
0.1128;0.0867544;0.299664;1.00966
0.1131;0.0931801;0.319206;1.06411
0.1134;0.0994978;0.338111;1.11558
0.1137;0.105709;0.356401;1.16424
